cnpj;sufixo;classe_avere;chave_original
34687441000125;;RF - Pós-fixado;34.687.441/0001-25
34803938000161;;RF - Pós-fixado;34.803.938/0001-61
35343590000130;;RF - Pós-fixado;35.343.590/0001-30
35364125000185;;RF - Pós-fixado;35.364.125/0001-85
35377390000106;;RF - Pós-fixado;35.377.390/0001-06
35378376000119;;RF - Pós-fixado;35.378.376/0001-19
35408329000170;;RF - Pós-fixado;35.408.329/0001-70
35420532000162;;RF - Pós-fixado;35.420.532/0001-62
35505971000178;;RF - Pós-fixado;35.505.971/0001-78
35648999000164;;RF - Pós-fixado;35.648.999/0001-64
35789436000196;;RF - Pós-fixado;35.789.436/0001-96
36318479000156;;RF - Pós-fixado;36.318.479/0001-56
36352361000144;;RF - Pós-fixado;36.352.361/0001-44
36498149000190;;RF - Pós-fixado;36.498.149/0001-90
36521750000156;;RF - Pós-fixado;36.521.750/0001-56
37053502000190;;RF - Pós-fixado;37.053.502/0001-90
37310657000165;;RF - Pós-fixado;37.310.657/0001-65
37539419000126;;RF - Pós-fixado;37.539.419/0001-26
38026926000129;;RF - Inflação;38.026.926/0001-29
38065069000176;unica;RF - Pós-fixado;38.065.069/0001-76_unica
38082159000175;senior2;RF - Pós-fixado;38.082.159/0001-75_senior2
39375554000109;;RF - Pós-fixado;39.375.554/0001-09
39566676000182;;RF - Pós-fixado;39.566.676/0001-82
39586835000100;;RF - Inflação;39.586.835/0001-00
39586858000115;;RF - Inflação;39.586.858/0001-15
39959025000152;;RF - Inflação;39.959.025/0001-52
39959156000130;;RF - Inflação;39.959.156/0001-30
40526710000174;;RF - Pós-fixado;40.526.710/0001-74
40668849000152;;RF - Pós-fixado;40.668.849/0001-52
40677194000189;senior1;RF - Pós-fixado;40.677.194/0001-89_senior1
41163524000180;;RF - Pós-fixado;41.163.524/0001-80
41650014000138;;RF - Pós-fixado;41.650.014/0001-38
41866348000143;;RF - Pós-fixado;41.866.348/0001-43
41867248000131;;RF - Pós-fixado;41.867.248/0001-31
41867296000120;;RF - Pós-fixado;41.867.296/0001-20
41888219000156;;RF - Pós-fixado;41.888.219/0001-56
41888492000180;;RF - Pós-fixado;41.888.492/0001-80
41978534000174;;RF - Pós-fixado;41.978.534/0001-74
42246750000198;;RF - Pós-fixado;42.246.750/0001-98
42263927000164;;RF - Pós-fixado;42.263.927/0001-64
42298890000100;;RF - Pós-fixado;42.298.890/0001-00
42479640000176;;RF - Pós-fixado;42.479.640/0001-76
42774252000118;;RF - Pós-fixado;42.774.252/0001-18
42774627000140;;RF - Pós-fixado;42.774.627/0001-40
43121036000136;;RF - Pós-fixado;43.121.036/0001-36
43508091000183;;RF - Pós-fixado;43.508.091/0001-83
43917493000131;;RF - Pós-fixado;43.917.493/0001-31
44212382000192;;RF - Pós-fixado;44.212.382/0001-92
44961198000145;;RF - Pós-fixado;44.961.198/0001-45
45683300000150;;RF - Pós-fixado;45.683.300/0001-50
46098897000139;;RF - Pós-fixado;46.098.897/0001-39
46729685000102;;RF - Pós-fixado;46.729.685/0001-02
47212331000159;;RF - Pós-fixado;47.212.331/0001-59
47612737000129;;RF - Pós-fixado;47.612.737/0001-29
48969198000142;;RF - Inflação;48.969.198/0001-42
49343067000118;;RF - Inflação;49.343.067/0001-18
49612242000125;;RF - Pós-fixado;49.612.242/0001-25
49647466000172;;RF - Pós-fixado;49.647.466/0001-72
49706433000156;;RF - Pós-fixado;49.706.433/0001-56
49983891000132;;RF - Pós-fixado;49.983.891/0001-32
49983964000196;;RF - Pós-fixado;49.983.964/0001-96
50038992000114;;RF - Inflação;50.038.992/0001-14
50088190000119;;RF - Pós-fixado;50.088.190/0001-19
50367933000190;;RF - Pós-fixado;50.367.933/0001-90
