cnpj;nome_sistema;status_cvm;situacao;classe_atual;classe_anbima;sugestao_classe;confianca;liquidez_atual;cvm_conversao;cvm_pagto_resgate;cvm_tipo_dia;liquidez_sugerida;gestor;taxa_adm;ativo_canonico_id
12923387000137;SPARTA PREMIUM FICFIRF;OK;;Multimercado;RENDA FIXA BAIXA DURAÇÃO - GRAU DE INVESTIMENTO;RF - Pós-fixado;media;0;0;0;DIAS ÚTEIS;0;;;462e84ef-8cd7-43ec-a2f3-42f83000041f
14188162000100;SPARTA TOP FIC RF CrPr LP;OK;;Multimercado;RENDA FIXA MÉDIA DURAÇÃO - GRAU DE INVESTIMENTO;RF - Pós-fixado;media;31;30;31;DIAS CORRIDOS;61;;;e8db9d1e-2be4-453c-ac60-7bd2f8c124eb
35343590000130;SPX SEAHAWK FICFIRF CrPr LP ACCESS;OK;;Multimercado;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;RF - Pós-fixado;media;31;45;46;DIAS CORRIDOS;91;;;95f12876-9842-459f-87e2-e9569446be57
47715703000160;SULAMERICA PREMIUM PLUS FIRF REF DI CrPr;OK;;Multimercado;RENDA FIXA BAIXA DURAÇÃO - GRAU DE INVESTIMENTO;RF - Pós-fixado;media;1;0;1;DIAS ÚTEIS;1;;;c20dedd3-57a9-4861-9b55-89932d93ffdc
12796232000187;Safra Agilite FIRF CrPr RL;OK;;Multimercado;RENDA FIXA BAIXA DURAÇÃO - GRAU DE INVESTIMENTO;RF - Pós-fixado;media;5;4;5;DIAS ÚTEIS;9;;;86f7f56d-331e-4f8d-b116-3e3b989e07ca
02536364000116;Safra DI Master FIRFRefDI LP;OK;CANCELADA;Multimercado;RENDA FIXA BAIXA DURAÇÃO - GRAU DE INVESTIMENTO;RF - Pós-fixado;media;0;0;0;DIAS ÚTEIS;0;;;4126263b-69ba-4c30-9bf8-f3dfb379051d
36352361000144;Sparta Debentures Incent 45 FICFIIIRF;OK;;FII-FIAgro;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;RF - Pós-fixado;media;46;45;46;DIAS CORRIDOS;91;;;585dfeac-aca0-4fa2-b0dc-929215d23224
39959025000152;Sparta Debentures Incent IPCA FICFIIIRF;OK;;FII-FIAgro;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;RF - Pós-fixado;media;32;30;32;DIAS CORRIDOS;62;;;01afe439-a4fd-4419-9168-bdd1d3985ece
54426679000104;Sparta Renda Incentivado Infra FIRF RL;OK;;Multimercado;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;RF - Pós-fixado;media;91;30;31;DIAS CORRIDOS;61;;;41bfbee9-d9b0-45f3-946a-786996a74a7d
04899128000190;Sul America Excellence FIRF CrPr;OK;CANCELADA;Multimercado;RENDA FIXA LIVRE DURAÇÃO - GRAU DE INVESTIMENTO;RF - Pós-fixado;media;1;1;1;DIAS CORRIDOS;2;;;2ab6bb86-0996-406a-bd3f-1d83493f9a51
30509221000150;V8 CASH FICFIRF;OK;;Multimercado;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;RF - Pós-fixado;media;0;0;0;DIAS ÚTEIS;0;;;7f0e2d8d-b585-4609-b713-6647a48c9363
42774627000140;V8 CASH PLATINUM FIC RF CrPr;OK;;Multimercado;RENDA FIXA LIVRE DURAÇÃO - CRÉDITO LIVRE;RF - Pós-fixado;media;12;10;12;DIAS ÚTEIS;22;;;4acb10a0-5bd0-4efb-9e3f-63b579480a59
29544764000120;IP PARTICIPACOES FICFIA BDR NIVEL I;OK;CANCELADA;Multimercado;AÇÕES - ATIVO - LIVRE;Renda Variável;alta;32;30;32;DIAS CORRIDOS;62;;;08104fd6-daae-47ca-8e1d-b29c32445464
12082452000149;IP Participações IPG FIC FIA RL;OK;;Multimercado;AÇÕES - ATIVO - LIVRE;Renda Variável;alta;32;30;32;DIAS CORRIDOS;62;;;c6a058b0-db8d-44f9-a8a8-409867e5121e
17400251000166;ORGANON FICFIA;OK;;Multimercado;AÇÕES - ATIVO - LIVRE;Renda Variável;alta;32;30;32;DIAS CORRIDOS;62;;;897583c5-a1b6-4ea7-bfc7-02f03dfddcf9
10500884000105;REAL INVESTOR FICFIA BDR NIVEL I;OK;;Multimercado;AÇÕES - ATIVO - LIVRE;Renda Variável;alta;29;27;29;DIAS CORRIDOS;56;;;0b94f471-3b41-4fb1-80d6-cac849888893
42922205000174;TARPON GT 90 FICFIA;OK;;Multimercado;AÇÕES - ATIVO - LIVRE;Renda Variável;alta;92;90;92;DIAS CORRIDOS;182;;;2e16d1a4-a4df-416d-b850-f10fb5c146d7
34713026000107;TARPON INTERSECTION FICFIA;OK;;Multimercado;AÇÕES - ATIVO - LIVRE;Renda Variável;alta;182;30;31;DIAS CORRIDOS;61;;;69d28f87-bd3c-49d0-aff4-b7fa25731f5a
